,,,,,482,120,,1009,51,7
id,Atividade,Local,"Tempo de Retorno 
(em rodadas)","Tempo de Retorno 
(em segundos)","Investimento 
(em moedas)",# Perguntas de sustentabilidade,Recompensa História,Moedas,Token do conhecimento,Aumento de Temperatura
1,Pesquisa sobre microplásticos em ecossistemas próximos às geleiras,Antártica,2,480,15,3,Parabéns! Você realizou uma pesquisa muito importante!,16,2,
2,Instalação de parque eólico e solar no deserto,Bagdá,3,720,15,3,O seu projeto fez com que várias usinas de carvão fossem desativadas!,25,1,
3,Projeto de educação sobre lixo marinho para as escolas e para a comunidade se surf mundial,Bali,2,480,5,2,A Indonésia é o segundo país que mais produz lixos plásticos do mundo! As competições de surf no país passaram a ficam mais limpas desde que seu projeto começou! ,12,1,
4,Construção de cantina escolar feita com material reciclado,Bangkok,3,720,8,2,"Mais de 1,4 milhões de embalagens foram usadas. Isso passou incentivar não só as crianças a reciclarem mas outras instituições também.",12,1,
5,Construção de um código de ética de sustentabilidade em empresas de software,Berlim,3,720,10,3,Parabéns! Agora as empresas de software sabem como agir em relação a produção de software sustentável! ,20,1,
6,Mineração de criptomoedas,Berlim,3,720,15,3,"Você fez muito dinheiro! Mas essa atividade demanda muita energia elétrica e, infelizmente, a  fonte de energia local é a base de combustíveis fósseis.",45,,0.75
7,Criação de um app de brechó online internacional,Bogotá,2,480,8,2,As vendas estão um sucesso! A indústria da moda é muito poluente mas a economia circular fez você conquistar dinheiro e sustentabilidade!,18,1,
8,Desenvolvimento de jogo sobre sustentabilidade,Brasília,2,480,5,3,"Parabéns, realizou um projeto muito importante!",7,2,
9,Criação de mil cabeças de gado,Brasília,3,720,15,3,Você fez muito dinheiro! Entretanto você desmatou muito o cerrado para abrir o pasto.,40,,0.5
10,Projeto de horta comunitária realizada em pequenos espaços de grandes cidades,Buenos Aires,2,480,7,2,"Parabéns, realizou um projeto muito importante!",12,1,
11,Desenvolvimento de tijolos ecológicos feitos de materiais reciclados,Cairo,3,720,7,2,"Parabéns, realizou um projeto muito importante!",14,1,
12,Programa de reutilização e reciclagem de garrafas plásticas,Casablanca,2,480,4,2,"Parabéns, você evitou que ainda mais plástico poluísse o meio ambiente!",10,1,
